date, pm25, pm10, o3, no2, so2, co
2019/7/20, 43, 11, 63, 9, 2, 5
2019/7/21, 38, 8, 67, 7, 5, 2
2019/7/22, 27, 13, 84, 8, 3, 4
2019/7/23, 33, 21, 67, 10, 5, 5
2019/7/24, 46, 16, 60, 10, 5, 6
2019/7/25, 46, 17, 85, 10, 3, 6
2019/7/26, 47, 18, 63, 12, 3, 6
2019/7/27, 48, 22, 66, 12, 2, 5
2019/7/28, 61, 21, 82, 11, 1, 4
2019/7/29, 64, 16, 122, 11, 2, 7
2019/7/30, 43, 16, 79, 11, 3, 5
2019/7/31, 41, 19, 85, 9, 4, 6
2019/8/1, 51, 29, 71, 9, 2, 4
2019/8/2, 57, 24, 78, 9, 4, 3
2019/8/3, 57, 27, 106, 9, 3, 6
2019/8/4, 64, 16, 90, 8, 3, 5
2019/8/5, 47, 19, 96, 10, 3, 4
2019/8/6, 46, 11, 78, 10, 5, 5
2019/8/7, 33, 12, 135, 10, 4, 5
2019/8/8, 34, 17, 69, 13, 3, 7
2019/8/9, 47, 25, 85, 12, 5, 6
2019/8/10, 56, 20, 63, 11, 2, 5
2019/8/11, 57, 12, 48, 8, 2, 3
2019/8/12, 33, 13, 100, 10, 4, 5
2019/8/13, 38, 15, 98, 9, 2, 3
2019/8/14, 44, 21, 119, 11, 3, 3
2019/8/15, 51, 36, 32, 10, 4, 2
2019/8/16, 62, 27, , , , 
2019/8/17, 76, 31, , , , 
2019/8/18, 75, , , , , 
2019/8/23, 27, 12, 40, 7, 3, 3
2019/8/24, 22, 9, 81, 8, , 6
2019/8/25, 26, 9, 49, 7, 4, 3
2019/8/26, 22, 12, 37, 10, 4, 6
2019/8/27, 36, 18, 71, 10, 4, 4
2019/8/28, 43, 20, 77, 13, 3, 9
2019/8/29, 51, 25, 64, 12, 6, 9
2019/8/30, 61, 39, 94, 12, 3, 4
2019/8/31, 79, 25, 83, 10, 4, 7
2019/9/1, 57, 20, 78, 9, 4, 4
2019/9/2, 53, 20, 94, 8, 6, 4
2019/9/3, 57, 16, 90, 9, 5, 5
2019/9/4, 37, 20, 96, 11, 4, 7
2019/9/5, 48, 17, 89, 11, 5, 5
2019/9/6, 50, 14, 68, 11, 5, 5
2019/9/7, 44, 21, 78, 14, 7, 7
2019/9/8, 60, 21, 92, 13, 5, 5
2019/9/9, 61, 27, 139, 13, 7, 8
2019/9/10, 61, 24, 42, 10, 5, 4
2019/9/11, 49, 24, 36, 10, 1, 5
2019/9/12, 59, 21, 32, 10, 3, 7
2019/9/13, 47, 20, 26, 9, 2, 5
2019/9/14, 42, 16, 24, 9, 1, 5
2019/9/15, 32, 11, 38, 7, 1, 3
2019/9/16, 33, 15, 42, 8, 2, 6
2019/9/17, 46, 23, 41, 9, 2, 5
2019/9/18, 49, 21, 34, 9, 3, 5
2019/9/19, 44, 10, 19, 6, 3, 4
2019/9/20, 18, 11, 21, 7, 2, 5
2019/9/21, 26, 17, 41, 8, 2, 6
2019/9/22, 43, 19, 43, 7, 2, 4
2019/9/23, 47, 19, 44, 10, 1, 2
2019/9/24, 45, 18, 49, 8, 2, 7
2019/9/25, 47, 20, 46, 7, 2, 7
2019/9/26, 46, 13, 39, 7, 1, 4
2019/9/27, 33, 19, 36, 10, 3, 7
2019/9/28, 51, 16, 41, 10, 1, 6
2019/9/29, 52, 10, 17, 8, , 5
2019/9/30, 34, 11, 21, 7, 1, 6
2019/10/1, 21, 10, 18, 7, 1, 5
2019/4/2, 44, 43, 34, 8, 4, 4
2019/4/3, 64, 40, 30, 8, 5, 5
2019/4/4, 66, 43, 33, 9, 3, 6
2019/4/5, 68, 33, 33, 7, 4, 5
2019/4/6, 55, 46, 32, 9, 6, 6
2019/4/7, 65, 42, 36, 10, 5, 8
2019/4/8, 73, 42, 43, 13, 5, 9
2019/4/9, 69, 47, 39, 10, 4, 9
2019/4/10, 68, 48, 37, 8, 4, 6
2019/4/11, 62, 45, 35, 11, 5, 7
2019/4/12, 69, 52, 34, 10, 5, 7
2019/4/13, 82, 40, 35, 6, 5, 4
2019/4/14, 65, 46, 43, 11, 6, 8
2019/4/15, 76, 55, 33, 11, 6, 8
2019/4/16, 84, 64, 31, 11, 6, 7
2019/4/17, 90, 47, 26, 10, 3, 7
2019/4/18, 67, 31, 35, 9, 7, 6
